message,label
Exclusive deal just for you,spam
Lunch plan today?,ham
Get free coupons now,spam
See you in class,ham
Congratulations you won a prize,spam
Can you call me back?,ham
You are selected for a lottery,spam
Send me the notes,ham
Claim your reward now,spam
Send me the notes,ham
You are selected for a lottery,spam
Assignment completed,ham
Claim your reward now,spam
Project submission deadline is near,ham
You are selected for a lottery,spam
See you in class,ham
Exclusive deal just for you,spam
Project submission deadline is near,ham
Get free coupons now,spam
Assignment completed,ham
Earn money from home,spam
How are you doing?,ham
Exclusive deal just for you,spam
How are you doing?,ham
Earn money from home,spam
Let's meet tomorrow,ham
Click here to win big,spam
Meeting at 5 PM,ham
Limited time offer hurry up,spam
Send me the notes,ham
Congratulations you won a prize,spam
Meeting at 5 PM,ham
Congratulations you won a prize,spam
See you in class,ham
Earn money from home,spam
Assignment completed,ham
Win cash now!!!,spam
Meeting at 5 PM,ham
Free recharge offer,spam
Lunch plan today?,ham
Earn money from home,spam
See you in class,ham
Click here to win big,spam
Can you call me back?,ham
Congratulations you won a prize,spam
Lunch plan today?,ham
You are selected for a lottery,spam
Project submission deadline is near,ham
Win cash now!!!,spam
Send me the notes,ham
Earn money from home,spam
Assignment completed,ham
You are selected for a lottery,spam
How are you doing?,ham
Free recharge offer,spam
Meeting at 5 PM,ham
Get free coupons now,spam
How are you doing?,ham
Get free coupons now,spam
Assignment completed,ham
Free recharge offer,spam
Project submission deadline is near,ham
Free recharge offer,spam
How are you doing?,ham
Congratulations you won a prize,spam
Let's meet tomorrow,ham
Free recharge offer,spam
Send me the notes,ham
Click here to win big,spam
How are you doing?,ham
Free recharge offer,spam
See you in class,ham
Win cash now!!!,spam
Send me the notes,ham
Congratulations you won a prize,spam
Please check your email,ham
Limited time offer hurry up,spam
Let's meet tomorrow,ham
Free recharge offer,spam
Lunch plan today?,ham
Limited time offer hurry up,spam
Please check your email,ham
Congratulations you won a prize,spam
Can you call me back?,ham
Get free coupons now,spam
Can you call me back?,ham
Free recharge offer,spam
Assignment completed,ham
Claim your reward now,spam
Lunch plan today?,ham
Win cash now!!!,spam
Project submission deadline is near,ham
Win cash now!!!,spam
Can you call me back?,ham
Win cash now!!!,spam
Send me the notes,ham
Click here to win big,spam
Can you call me back?,ham
Congratulations you won a prize,spam
Let's meet tomorrow,ham
